perm,run,tag,regime_id,cycle,null_beta1_birth_area_delta,overload_asinh,beta1_birth_area_delta
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.0519691604700841,-0.6281614896527268,-0.018633364754428
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.058266766877273224,-0.6281614896527268,-0.018633364754428
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05417664996641597,-0.6281614896527268,-0.018633364754428
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05178654624945106,-0.6281614896527268,-0.018633364754428
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.053142408022143095,-0.6281614896527268,-0.018633364754428
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.0516559735308223,-0.6281614896527268,-0.018633364754428
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05033956262056721,-0.6281614896527268,-0.018633364754428
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.053386326140728635,-0.6281614896527268,-0.018633364754428
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.051816816121163456,-0.6281614896527268,-0.018633364754428
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05247970520736239,-0.6281614896527268,-0.018633364754428
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.04991280711481022,-0.6281614896527268,-0.018633364754428
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05242026582660986,-0.6281614896527268,-0.018633364754428
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05456295958857882,-0.6281614896527268,-0.018633364754428
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05245917558148405,-0.6281614896527268,-0.018633364754428
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.047259666614294704,-0.6281614896527268,-0.018633364754428
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06184474078679131,-0.6232739267961834,-0.0266149853267331
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06435555104482582,-0.6232739267961834,-0.0266149853267331
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06420197074536238,-0.6232739267961834,-0.0266149853267331
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06029026363421763,-0.6232739267961834,-0.0266149853267331
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.05917243939222194,-0.6232739267961834,-0.0266149853267331
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06296470771584983,-0.6232739267961834,-0.0266149853267331
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.060183441085254086,-0.6232739267961834,-0.0266149853267331
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06074155830883243,-0.6232739267961834,-0.0266149853267331
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.05886771789952927,-0.6232739267961834,-0.0266149853267331
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.0605268105891108,-0.6232739267961834,-0.0266149853267331
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06026834710142076,-0.6232739267961834,-0.0266149853267331
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.05626320131551932,-0.6232739267961834,-0.0266149853267331
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06111062081450691,-0.6232739267961834,-0.0266149853267331
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.05965213447918849,-0.6232739267961834,-0.0266149853267331
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06275734654898318,-0.6232739267961834,-0.0266149853267331
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06148998982773818,-0.6232739267961834,-0.0266149853267331
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06066027039298272,-0.6232739267961834,-0.0266149853267331
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06228484722566907,-0.6232739267961834,-0.0266149853267331
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.061844258413343955,-0.6232739267961834,-0.0266149853267331
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06169497650897915,-0.6232739267961834,-0.0266149853267331
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06088346088673274,-0.6232739267961834,-0.0266149853267331
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.05862782190888727,-0.6232739267961834,-0.0266149853267331
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.062912601256568,-0.6232739267961834,-0.0266149853267331
