run,tag,regime_id,cycle,phase,n_contacts,edge_fraction,rank,beta1_birth_density,loop_force_share_partial,giant_component_fraction,added_force_fraction
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,hot,17173,1.0,17173,0.617189774646247,0.5204993003274564,0.8378803028138837,1.000000000000006
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,cold,1947,0.01,20,0.5,0.0308208612122202,0.0012437810945273,0.0623078113246161
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,cold,1947,0.02,39,0.4615384615384615,0.0493365802487449,0.0012437810945273,0.1061442999937863
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,cold,1947,0.05,98,0.4693877551020408,0.0993980291531971,0.001865671641791,0.2105707298506288
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,cold,1947,0.1,195,0.4871794871794871,0.165501531251641,0.001865671641791,0.3413583238917542
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,cold,1947,0.2,390,0.4871794871794871,0.2609762073782191,0.0024875621890547,0.5371447499511434
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,cold,1947,0.4,779,0.4890885750962773,0.38192935185068,0.0031094527363184,0.7831266836489945
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,cold,1947,0.8,1558,0.4878048780487805,0.480713862729459,0.0062189054726368,0.9837419250844992
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,cold,1947,1.0,1947,0.4971751412429379,0.4888812926581393,0.0087064676616915,0.9999999999999992
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,hot,6010,0.01,61,0.4918032786885246,0.0598322446858468,0.0006922011998154,0.1219719823095932
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,hot,6010,0.02,121,0.4710743801652892,0.0859336341355424,0.0006922011998154,0.179841618882419
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,hot,6010,0.05,301,0.4850498338870432,0.1507095840808213,0.0006922011998154,0.3103882467817497
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,hot,6010,0.1,601,0.4875207986688852,0.2225335763523048,0.001153668666359,0.4566751635384379
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,hot,6010,0.2,1202,0.4916805324459234,0.3160022386753885,0.0013844023996308,0.645608682898225
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,hot,6010,0.4,2404,0.4858569051580699,0.4139950415529794,0.002307337332718,0.8488967196598323
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,hot,6010,0.8,4808,0.483153078202995,0.4811197058567359,0.010613751730503,0.9895751193825784
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,hot,6010,1.0,6010,0.4993344425956739,0.4865573503643536,0.0226119058606368,1.0
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,cold,7240,0.01,73,0.4794520547945205,0.0220573627485247,0.0007686395080707,0.0461068696133371
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,cold,7240,0.02,145,0.4827586206896552,0.0401323491476606,0.0010248526774276,0.0832096997098517
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,cold,7240,0.05,362,0.4834254143646408,0.0851905577855703,0.0017934921854983,0.176214915430961
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,cold,7240,0.1,724,0.4903314917127072,0.1479282038859984,0.002562131693569,0.3023699467047384
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,cold,7240,0.2,1448,0.4903314917127072,0.2431990997518274,0.0035869843709966,0.4966566448508962
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,cold,7240,0.4,2896,0.493439226519337,0.3715763444109697,0.0361260568793236,0.7552981537471725
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,cold,7240,0.8,5792,0.5229627071823204,0.493362402255265,0.4806559057135536,0.9806623965648767
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,cold,7240,1.0,7240,0.5482044198895027,0.505264307186809,0.6126056879323597,0.9999999999999986
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,hot,14118,0.01,142,0.4718309859154929,0.0382973718993354,0.0004689698296076,0.0809728979841243
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,hot,14118,0.02,283,0.4734982332155477,0.0648772291202576,0.0006252931061435,0.1367491256222875
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,hot,14118,0.05,706,0.4915014164305949,0.129136642962789,0.0010942629357511,0.2644345782400689
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,hot,14118,0.1,1412,0.4907932011331444,0.2017081536945511,0.0020322025949663,0.4128960044434323
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,hot,14118,0.2,2824,0.4907932011331444,0.2974778024033359,0.0046896982960762,0.6081284818825854
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,hot,14118,0.4,5648,0.4936260623229462,0.4042893787038312,0.0489291855557292,0.8233705239425485
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,hot,14118,0.8,11295,0.5365205843293492,0.4945536720248251,0.6649992183836173,0.9859957049158476
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,hot,14118,1.0,14118,0.5859186853661992,0.5050175929087619,0.7725496326403002,1.0000000000000016
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,cold,2049,0.01,21,0.4285714285714285,0.0339976006996958,0.0011968880909634,0.0775059223927994
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,cold,2049,0.02,41,0.4390243902439024,0.054513163920804,0.0011968880909634,0.1201453263080886
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,cold,2049,0.05,103,0.4660194174757281,0.1050642867494162,0.0011968880909634,0.2231733139732699
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,cold,2049,0.1,205,0.4780487804878048,0.1682602946873503,0.0017953321364452,0.3511203663828641
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,cold,2049,0.2,410,0.4878048780487805,0.263896480969071,0.0023937761819269,0.5426545631935165
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,cold,2049,0.4,820,0.4926829268292683,0.3841429338558489,0.0029922202274087,0.785572005466784
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,cold,2049,0.8,1640,0.4914634146341463,0.4809833379884443,0.0131657690005984,0.9838780932553224
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,cold,2049,1.0,2049,0.4963396778916544,0.4886931548343515,0.0143626570915619,0.9999999999999988
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,hot,6326,0.01,64,0.453125,0.052105446057592,0.0004443457009553,0.1124929260290867
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,hot,6326,0.02,127,0.4960629921259842,0.0876186589775321,0.000666518551433,0.1780160717433193
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,hot,6326,0.05,317,0.4858044164037854,0.1489683015735117,0.000666518551433,0.3062605437868466
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,hot,6326,0.1,633,0.4865718799368088,0.2178244379585873,0.001333037102866,0.4475795168135182
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,hot,6326,0.2,1266,0.490521327014218,0.3112531393558066,0.0017773828038213,0.6366614534396411
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,hot,6326,0.4,2531,0.4883445278546029,0.4135863587071323,0.002666074205732,0.8464800209254167
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,hot,6326,0.8,5061,0.4823157478759138,0.4815407875767472,0.0077760497667185,0.9899646589920824
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,hot,6326,1.0,6326,0.5001580777742649,0.4869188762897773,0.0186625194401244,1.0000000000000069
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,11,cold,6927,0.01,70,0.4857142857142857,0.0230230889417465,0.0007729966503478,0.0475021398300167
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,11,cold,6927,0.02,139,0.4892086330935252,0.0415566227685767,0.0012883277505797,0.0851763210507659
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,11,cold,6927,0.05,347,0.4783861671469741,0.0850529361452268,0.0012883277505797,0.1773255947215465
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,11,cold,6927,0.1,693,0.4906204906204906,0.1482807032105897,0.0025766555011594,0.3029728546065166
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,11,cold,6927,0.2,1386,0.492063492063492,0.2428262897733404,0.0064416387528987,0.4948846394730833
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,11,cold,6927,0.4,2771,0.4940454709491158,0.3693259786634011,0.0162329296573048,0.7503416563874575
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,11,cold,6927,0.8,5542,0.5164200649584988,0.491697637940327,0.4390620973975779,0.9803350331329418
